Date,Category,Year,Month,Day,IsHoliday,PredictedOrderQuantity
2024-01-17,Chair,2024,1,17,0,23.438877344877348
2024-01-17,Sofa,2024,1,17,0,22.608789425577
2024-01-17,Cabinet,2024,1,17,0,21.076986734877345
2024-01-17,Bed,2024,1,17,0,21.102819529562986
2024-01-17,Desk,2024,1,17,0,21.64289013173276
2024-01-18,Table,2024,1,18,0,22.27871614876084
2024-01-18,Chair,2024,1,18,0,23.759085678210678
2024-01-18,Sofa,2024,1,18,0,22.673175139862725
2024-01-18,Cabinet,2024,1,18,0,21.09332030630592
2024-01-18,Bed,2024,1,18,0,21.109415380162332
2024-01-18,Desk,2024,1,18,0,21.714775253190247
2024-01-19,Table,2024,1,19,0,22.05226428978647
2024-01-19,Chair,2024,1,19,0,24.081269591519593
2024-01-19,Sofa,2024,1,19,0,22.72682202630961
2024-01-19,Cabinet,2024,1,19,0,21.110584892386512
2024-01-19,Bed,2024,1,19,0,21.104924048272004
2024-01-19,Desk,2024,1,19,0,21.780785937152018
2024-01-20,Table,2024,1,20,1,22.81565215367966
2024-01-20,Chair,2024,1,20,1,24.478408369408374
2024-01-20,Sofa,2024,1,20,1,22.826410930735918
2024-01-20,Cabinet,2024,1,20,1,21.092404005602248
2024-01-20,Bed,2024,1,20,1,21.174527312607733
2024-01-20,Desk,2024,1,20,1,21.864413013579114
2024-01-21,Table,2024,1,21,1,22.817603939393948
2024-01-21,Chair,2024,1,21,1,23.98407503607504
2024-01-21,Sofa,2024,1,21,1,22.476120364357858
2024-01-21,Cabinet,2024,1,21,1,21.120583529411775
2024-01-21,Bed,2024,1,21,1,21.22133749117916
2024-01-21,Desk,2024,1,21,1,21.92084251033236
2024-01-22,Table,2024,1,22,0,21.934205956453138
2024-01-22,Chair,2024,1,22,0,24.05867649017649
2024-01-22,Sofa,2024,1,22,0,22.264123034176865
2024-01-22,Cabinet,2024,1,22,0,21.040139233045853
2024-01-22,Bed,2024,1,22,0,21.124934806853698
2024-01-22,Desk,2024,1,22,0,21.768555132056203
2024-01-23,Table,2024,1,23,0,21.92439845645314
2024-01-23,Chair,2024,1,23,0,23.5890835969586
2024-01-23,Sofa,2024,1,23,0,22.32434601952485
2024-01-23,Cabinet,2024,1,23,0,21.011634090188707
2024-01-23,Bed,2024,1,23,0,21.125870832494726
2024-01-23,Desk,2024,1,23,0,21.776617632056205
